"Step","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-15_18-52-58 - reward","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-15_18-52-58 - reward__MIN","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-15_18-52-58 - reward__MAX"
"60","64.52999999999999","64.52999999999999","64.52999999999999"
"61","68.992","68.992","68.992"
"62","74.04300000000003","74.04300000000003","74.04300000000003"
"63","79.03100000000008","79.03100000000008","79.03100000000008"
"64","83.13700000000011","83.13700000000011","83.13700000000011"
"65","87.25600000000017","87.25600000000017","87.25600000000017"
"66","92.0430000000002","92.0430000000002","92.0430000000002"
"67","95.90100000000022","95.90100000000022","95.90100000000022"
"68","98.46600000000026","98.46600000000026","98.46600000000026"
"69","101.37500000000026","101.37500000000026","101.37500000000026"
"70","103.37300000000029","103.37300000000029","103.37300000000029"
"71","104.45000000000029","104.45000000000029","104.45000000000029"
"72","106.29800000000029","106.29800000000029","106.29800000000029"
"73","106.6280000000003","106.6280000000003","106.6280000000003"
"74","107.03600000000031","107.03600000000031","107.03600000000031"
"75","107.76500000000031","107.76500000000031","107.76500000000031"
"76","109.19300000000032","109.19300000000032","109.19300000000032"
"77","110.18900000000035","110.18900000000035","110.18900000000035"
"78","112.06700000000035","112.06700000000035","112.06700000000035"
"79","112.72800000000032","112.72800000000032","112.72800000000032"
"80","113.87900000000036","113.87900000000036","113.87900000000036"
"81","110.48400000000034","110.48400000000034","110.48400000000034"
"82","109.38900000000032","109.38900000000032","109.38900000000032"
"83","110.01700000000032","110.01700000000032","110.01700000000032"
"84","111.67100000000032","111.67100000000032","111.67100000000032"
"85","113.34100000000034","113.34100000000034","113.34100000000034"
"86","115.06400000000032","115.06400000000032","115.06400000000032"
"87","116.17800000000034","116.17800000000034","116.17800000000034"
"88","114.47200000000034","114.47200000000034","114.47200000000034"
"89","113.57400000000032","113.57400000000032","113.57400000000032"
"90","113.31000000000034","113.31000000000034","113.31000000000034"
"91","103.1650000000003","103.1650000000003","103.1650000000003"
"92","91.49400000000021","91.49400000000021","91.49400000000021"
"93","82.8630000000001","82.8630000000001","82.8630000000001"
"94","73.41500000000005","73.41500000000005","73.41500000000005"
"95","65.21099999999997","65.21099999999997","65.21099999999997"
"96","70.564","70.564","70.564"
"97","76.50900000000003","76.50900000000003","76.50900000000003"
"98","79.82500000000006","79.82500000000006","79.82500000000006"
"99","83.63700000000009","83.63700000000009","83.63700000000009"
"100","88.4000000000001","88.4000000000001","88.4000000000001"
"101","91.78100000000013","91.78100000000013","91.78100000000013"
"102","90.31400000000014","90.31400000000014","90.31400000000014"
"103","92.77700000000016","92.77700000000016","92.77700000000016"
"104","94.73700000000017","94.73700000000017","94.73700000000017"
"105","93.56100000000016","93.56100000000016","93.56100000000016"
"106","92.89200000000015","92.89200000000015","92.89200000000015"
