"Step","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MIN","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MAX"
"95","-22.90400000000001","-22.90400000000001","-22.90400000000001"
"96","-31.71600000000001","-31.71600000000001","-31.71600000000001"
"97","-37.58300000000001","-37.58300000000001","-37.58300000000001"
"98","-41.20000000000001","-41.20000000000001","-41.20000000000001"
"99","-45.45600000000001","-45.45600000000001","-45.45600000000001"
"100","-44.472","-44.472","-44.472"
"101","-43.699000000000005","-43.699000000000005","-43.699000000000005"
"102","-46.08300000000002","-46.08300000000002","-46.08300000000002"
"103","-49.49600000000001","-49.49600000000001","-49.49600000000001"
"104","-51.818000000000026","-51.818000000000026","-51.818000000000026"
"105","-57.219000000000015","-57.219000000000015","-57.219000000000015"
"106","-59.701000000000015","-59.701000000000015","-59.701000000000015"
"107","-61.664000000000016","-61.664000000000016","-61.664000000000016"
"108","-60.390000000000015","-60.390000000000015","-60.390000000000015"
"109","-59.46900000000001","-59.46900000000001","-59.46900000000001"
"110","-58.106000000000016","-58.106000000000016","-58.106000000000016"
"111","-56.277000000000015","-56.277000000000015","-56.277000000000015"
"112","-54.762000000000015","-54.762000000000015","-54.762000000000015"
"113","-54.262000000000015","-54.262000000000015","-54.262000000000015"
"114","-50.53300000000001","-50.53300000000001","-50.53300000000001"
"115","-49.602000000000025","-49.602000000000025","-49.602000000000025"
"116","-49.426000000000016","-49.426000000000016","-49.426000000000016"
"117","-50.054000000000016","-50.054000000000016","-50.054000000000016"
"118","-50.34500000000002","-50.34500000000002","-50.34500000000002"
"119","-52.53300000000001","-52.53300000000001","-52.53300000000001"
"120","-53.07900000000002","-53.07900000000002","-53.07900000000002"
"121","-51.691000000000024","-51.691000000000024","-51.691000000000024"
"122","-50.42600000000002","-50.42600000000002","-50.42600000000002"
"123","-47.39200000000002","-47.39200000000002","-47.39200000000002"
"124","-44.90600000000002","-44.90600000000002","-44.90600000000002"
"125","-42.24900000000003","-42.24900000000003","-42.24900000000003"
"126","-41.13100000000002","-41.13100000000002","-41.13100000000002"
"127","-39.941000000000024","-39.941000000000024","-39.941000000000024"
"128","-40.443000000000026","-40.443000000000026","-40.443000000000026"
"129","-39.380000000000024","-39.380000000000024","-39.380000000000024"
"130","-38.07100000000002","-38.07100000000002","-38.07100000000002"
"131","-36.37800000000002","-36.37800000000002","-36.37800000000002"
"132","-34.44300000000002","-34.44300000000002","-34.44300000000002"
"133","-32.700000000000024","-32.700000000000024","-32.700000000000024"
"134","-30.51400000000002","-30.51400000000002","-30.51400000000002"
"135","-27.336000000000023","-27.336000000000023","-27.336000000000023"
"136","-25.37900000000002","-25.37900000000002","-25.37900000000002"
"137","-22.242000000000022","-22.242000000000022","-22.242000000000022"
"138","-19.367000000000015","-19.367000000000015","-19.367000000000015"
"139","-16.990000000000013","-16.990000000000013","-16.990000000000013"
"140","-16.392000000000007","-16.392000000000007","-16.392000000000007"
"141","-17.46200000000001","-17.46200000000001","-17.46200000000001"
"142","-15.79000000000001","-15.79000000000001","-15.79000000000001"
"143","-15.441000000000008","-15.441000000000008","-15.441000000000008"
"144","-14.973000000000008","-14.973000000000008","-14.973000000000008"
"145","-14.16300000000001","-14.16300000000001","-14.16300000000001"
"146","-11.840000000000005","-11.840000000000005","-11.840000000000005"
"147","-10.386000000000006","-10.386000000000006","-10.386000000000006"
"148","-8.42600000000001","-8.42600000000001","-8.42600000000001"
"149","-6.641000000000008","-6.641000000000008","-6.641000000000008"
"150","-3.3040000000000136","-3.3040000000000136","-3.3040000000000136"
"151","-2.5980000000000145","-2.5980000000000145","-2.5980000000000145"
"152","-5.039000000000018","-5.039000000000018","-5.039000000000018"
"153","-8.298000000000016","-8.298000000000016","-8.298000000000016"
"154","-9.341000000000015","-9.341000000000015","-9.341000000000015"
"155","-11.222000000000012","-11.222000000000012","-11.222000000000012"
"156","-9.886000000000012","-9.886000000000012","-9.886000000000012"
"157","-7.20100000000001","-7.20100000000001","-7.20100000000001"
"158","-5.399000000000012","-5.399000000000012","-5.399000000000012"
"159","-4.079000000000011","-4.079000000000011","-4.079000000000011"
"160","-1.01900000000001","-1.01900000000001","-1.01900000000001"
"161","1.891999999999986","1.891999999999986","1.891999999999986"
"162","3.5429999999999877","3.5429999999999877","3.5429999999999877"
"163","5.712999999999985","5.712999999999985","5.712999999999985"
"164","8.756999999999982","8.756999999999982","8.756999999999982"
"165","8.989999999999982","8.989999999999982","8.989999999999982"
"166","7.732999999999981","7.732999999999981","7.732999999999981"
"167","8.680999999999981","8.680999999999981","8.680999999999981"
"168","9.248999999999985","9.248999999999985","9.248999999999985"
"169","7.883999999999986","7.883999999999986","7.883999999999986"
"170","8.229999999999984","8.229999999999984","8.229999999999984"
"171","8.508999999999984","8.508999999999984","8.508999999999984"
"172","7.636999999999981","7.636999999999981","7.636999999999981"
"173","7.435999999999982","7.435999999999982","7.435999999999982"
"174","7.264999999999981","7.264999999999981","7.264999999999981"
"175","9.259999999999977","9.259999999999977","9.259999999999977"
"176","9.71599999999998","9.71599999999998","9.71599999999998"
"177","13.230999999999979","13.230999999999979","13.230999999999979"
"178","13.58399999999998","13.58399999999998","13.58399999999998"
"179","13.58199999999998","13.58199999999998","13.58199999999998"
"180","10.842999999999984","10.842999999999984","10.842999999999984"
"181","8.994999999999983","8.994999999999983","8.994999999999983"
"182","7.199999999999988","7.199999999999988","7.199999999999988"
"183","4.927999999999985","4.927999999999985","4.927999999999985"
"184","5.286999999999985","5.286999999999985","5.286999999999985"
"185","7.419999999999982","7.419999999999982","7.419999999999982"
"186","9.94999999999998","9.94999999999998","9.94999999999998"
"187","11.01599999999998","11.01599999999998","11.01599999999998"
"188","13.756999999999982","13.756999999999982","13.756999999999982"
"189","13.47899999999998","13.47899999999998","13.47899999999998"
"190","14.668999999999977","14.668999999999977","14.668999999999977"
"191","11.953999999999978","11.953999999999978","11.953999999999978"
"192","14.373999999999977","14.373999999999977","14.373999999999977"
"193","14.86499999999997","14.86499999999997","14.86499999999997"
"194","15.124999999999975","15.124999999999975","15.124999999999975"
"195","17.34499999999997","17.34499999999997","17.34499999999997"
"196","18.088999999999974","18.088999999999974","18.088999999999974"
"197","18.43999999999997","18.43999999999997","18.43999999999997"
"198","20.40799999999997","20.40799999999997","20.40799999999997"
"199","19.471999999999966","19.471999999999966","19.471999999999966"
"200","21.13899999999996","21.13899999999996","21.13899999999996"
"201","20.80199999999996","20.80199999999996","20.80199999999996"
"202","20.218999999999962","20.218999999999962","20.218999999999962"
"203","18.152999999999967","18.152999999999967","18.152999999999967"
"204","18.01799999999996","18.01799999999996","18.01799999999996"
"205","15.400999999999971","15.400999999999971","15.400999999999971"
"206","16.24199999999997","16.24199999999997","16.24199999999997"
"207","17.64899999999997","17.64899999999997","17.64899999999997"
"208","19.03399999999997","19.03399999999997","19.03399999999997"
"209","18.868999999999964","18.868999999999964","18.868999999999964"
"210","20.006999999999966","20.006999999999966","20.006999999999966"
"211","20.622999999999966","20.622999999999966","20.622999999999966"
"212","21.008999999999965","21.008999999999965","21.008999999999965"
"213","22.012999999999966","22.012999999999966","22.012999999999966"
"214","23.490999999999968","23.490999999999968","23.490999999999968"
"215","25.127999999999965","25.127999999999965","25.127999999999965"
"216","24.46899999999996","24.46899999999996","24.46899999999996"
"217","27.084999999999958","27.084999999999958","27.084999999999958"
"218","27.549999999999955","27.549999999999955","27.549999999999955"
"219","28.157999999999948","28.157999999999948","28.157999999999948"
"220","28.99299999999995","28.99299999999995","28.99299999999995"
"221","29.086999999999946","29.086999999999946","29.086999999999946"
"222","27.527999999999956","27.527999999999956","27.527999999999956"
"223","27.848999999999943","27.848999999999943","27.848999999999943"
"224","27.989999999999956","27.989999999999956","27.989999999999956"
"225","28.816999999999947","28.816999999999947","28.816999999999947"
"226","29.13799999999995","29.13799999999995","29.13799999999995"
"227","30.26099999999995","30.26099999999995","30.26099999999995"
"228","29.558999999999948","29.558999999999948","29.558999999999948"
"229","29.18999999999995","29.18999999999995","29.18999999999995"
"230","28.53099999999995","28.53099999999995","28.53099999999995"
"231","28.465999999999948","28.465999999999948","28.465999999999948"
"232","27.733999999999952","27.733999999999952","27.733999999999952"
"233","27.846999999999948","27.846999999999948","27.846999999999948"
"234","26.58199999999995","26.58199999999995","26.58199999999995"
"235","26.722999999999956","26.722999999999956","26.722999999999956"
"236","27.134999999999955","27.134999999999955","27.134999999999955"
"237","28.702999999999957","28.702999999999957","28.702999999999957"
"238","29.586999999999946","29.586999999999946","29.586999999999946"
"239","29.85699999999995","29.85699999999995","29.85699999999995"
"240","30.97499999999995","30.97499999999995","30.97499999999995"
"241","30.47499999999995","30.47499999999995","30.47499999999995"
"242","29.706999999999947","29.706999999999947","29.706999999999947"
"243","30.82199999999995","30.82199999999995","30.82199999999995"
"244","31.69999999999995","31.69999999999995","31.69999999999995"
"245","31.654999999999944","31.654999999999944","31.654999999999944"
"246","32.80799999999995","32.80799999999995","32.80799999999995"
"247","31.969999999999935","31.969999999999935","31.969999999999935"
"248","32.25099999999995","32.25099999999995","32.25099999999995"
"249","31.85599999999995","31.85599999999995","31.85599999999995"
"250","31.776999999999948","31.776999999999948","31.776999999999948"
"251","32.218999999999944","32.218999999999944","32.218999999999944"
"252","32.82099999999994","32.82099999999994","32.82099999999994"
"253","32.23899999999994","32.23899999999994","32.23899999999994"
"254","29.54599999999995","29.54599999999995","29.54599999999995"
"255","29.797999999999938","29.797999999999938","29.797999999999938"
"256","29.04499999999995","29.04499999999995","29.04499999999995"
"257","29.87699999999995","29.87699999999995","29.87699999999995"
"258","31.283999999999942","31.283999999999942","31.283999999999942"
"259","36.62999999999994","36.62999999999994","36.62999999999994"
"260","35.97499999999994","35.97499999999994","35.97499999999994"
"261","38.47999999999995","38.47999999999995","38.47999999999995"
"262","40.176999999999936","40.176999999999936","40.176999999999936"
"263","39.890999999999934","39.890999999999934","39.890999999999934"
"264","40.814999999999934","40.814999999999934","40.814999999999934"
"265","40.905999999999935","40.905999999999935","40.905999999999935"
"266","39.38899999999994","39.38899999999994","39.38899999999994"
"267","39.32099999999994","39.32099999999994","39.32099999999994"
"268","38.68299999999995","38.68299999999995","38.68299999999995"
"269","37.084999999999944","37.084999999999944","37.084999999999944"
"270","36.60199999999994","36.60199999999994","36.60199999999994"
"271","36.71799999999994","36.71799999999994","36.71799999999994"
"272","36.81299999999994","36.81299999999994","36.81299999999994"
"273","36.844999999999935","36.844999999999935","36.844999999999935"
"274","37.24199999999993","37.24199999999993","37.24199999999993"
"275","39.37199999999994","39.37199999999994","39.37199999999994"
"276","39.45299999999993","39.45299999999993","39.45299999999993"
"277","40.28999999999994","40.28999999999994","40.28999999999994"
"278","40.25599999999994","40.25599999999994","40.25599999999994"
"279","40.30499999999993","40.30499999999993","40.30499999999993"
"280","40.085999999999935","40.085999999999935","40.085999999999935"
"281","39.33799999999994","39.33799999999994","39.33799999999994"
"282","38.152999999999935","38.152999999999935","38.152999999999935"
"283","38.056999999999945","38.056999999999945","38.056999999999945"
"284","39.01099999999994","39.01099999999994","39.01099999999994"
"285","38.48299999999994","38.48299999999994","38.48299999999994"
"286","38.87599999999995","38.87599999999995","38.87599999999995"
"287","39.39599999999994","39.39599999999994","39.39599999999994"
"288","40.039999999999935","40.039999999999935","40.039999999999935"
"289","39.64499999999994","39.64499999999994","39.64499999999994"
"290","40.24599999999993","40.24599999999993","40.24599999999993"
"291","40.96599999999994","40.96599999999994","40.96599999999994"
"292","42.70099999999993","42.70099999999993","42.70099999999993"
"293","42.55399999999993","42.55399999999993","42.55399999999993"
"294","43.33299999999994","43.33299999999994","43.33299999999994"
"295","43.150999999999925","43.150999999999925","43.150999999999925"
"296","42.870999999999924","42.870999999999924","42.870999999999924"
