"Step","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward__MIN","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward__MAX"
"271","-98.7","-98.7","-98.7"
"272","-98.75000000000001","-98.75000000000001","-98.75000000000001"
"273","-98.89","-98.89","-98.89"
"274","-99.01700000000001","-99.01700000000001","-99.01700000000001"
"275","-99.08700000000003","-99.08700000000003","-99.08700000000003"
"276","-99.20800000000001","-99.20800000000001","-99.20800000000001"
"277","-99.23400000000001","-99.23400000000001","-99.23400000000001"
"278","-99.14200000000002","-99.14200000000002","-99.14200000000002"
"279","-99.07900000000004","-99.07900000000004","-99.07900000000004"
"280","-99.04100000000003","-99.04100000000003","-99.04100000000003"
"281","-98.961","-98.961","-98.961"
"282","-98.98600000000002","-98.98600000000002","-98.98600000000002"
"283","-99.04700000000001","-99.04700000000001","-99.04700000000001"
"284","-99.061","-99.061","-99.061"
"285","-99.146","-99.146","-99.146"
"286","-99.212","-99.212","-99.212"
"287","-99.18900000000002","-99.18900000000002","-99.18900000000002"
"288","-99.18900000000002","-99.18900000000002","-99.18900000000002"
"289","-99.13900000000001","-99.13900000000001","-99.13900000000001"
"290","-99.044","-99.044","-99.044"
"291","-98.916","-98.916","-98.916"
"292","-98.81100000000002","-98.81100000000002","-98.81100000000002"
"293","-98.744","-98.744","-98.744"
"294","-98.66","-98.66","-98.66"
"295","-98.56199999999998","-98.56199999999998","-98.56199999999998"
"296","-98.70100000000001","-98.70100000000001","-98.70100000000001"
"297","-98.70400000000001","-98.70400000000001","-98.70400000000001"
"298","-98.712","-98.712","-98.712"
"299","-98.84","-98.84","-98.84"
"300","-99.04","-99.04","-99.04"
"301","-99.06300000000002","-99.06300000000002","-99.06300000000002"
"302","-99.182","-99.182","-99.182"
"303","-99.38799999999999","-99.38799999999999","-99.38799999999999"
"304","-99.525","-99.525","-99.525"
"305","-99.59200000000001","-99.59200000000001","-99.59200000000001"
"306","-99.655","-99.655","-99.655"
"307","-99.738","-99.738","-99.738"
"308","-99.76100000000001","-99.76100000000001","-99.76100000000001"
"309","-99.74600000000001","-99.74600000000001","-99.74600000000001"
"310","-99.74600000000001","-99.74600000000001","-99.74600000000001"
"311","-99.74600000000001","-99.74600000000001","-99.74600000000001"
"312","-99.75","-99.75","-99.75"
"313","-99.75","-99.75","-99.75"
"314","-99.765","-99.765","-99.765"
"315","-99.755","-99.755","-99.755"
"316","-99.78","-99.78","-99.78"
"317","-99.775","-99.775","-99.775"
"318","-99.775","-99.775","-99.775"
"319","-99.76","-99.76","-99.76"
"320","-99.765","-99.765","-99.765"
"321","-99.735","-99.735","-99.735"
"322","-99.76","-99.76","-99.76"
"323","-99.765","-99.765","-99.765"
"324","-99.775","-99.775","-99.775"
"325","-99.77","-99.77","-99.77"
"326","-99.78","-99.78","-99.78"
"327","-99.76","-99.76","-99.76"
"328","-99.74","-99.74","-99.74"
"329","-99.76","-99.76","-99.76"
"330","-99.75","-99.75","-99.75"
"331","-99.76","-99.76","-99.76"
"332","-99.775","-99.775","-99.775"
"333","-99.78","-99.78","-99.78"
"334","-99.765","-99.765","-99.765"
"335","-99.77","-99.77","-99.77"
"336","-99.765","-99.765","-99.765"
"337","-99.755","-99.755","-99.755"
"338","-99.755","-99.755","-99.755"
"339","-99.77","-99.77","-99.77"
"340","-99.76","-99.76","-99.76"
"341","-99.75","-99.75","-99.75"
"342","-99.74","-99.74","-99.74"
"343","-99.74","-99.74","-99.74"
"344","-99.725","-99.725","-99.725"
"345","-99.74","-99.74","-99.74"
"346","-99.745","-99.745","-99.745"
"347","-99.775","-99.775","-99.775"
"348","-99.78","-99.78","-99.78"
"349","-99.79","-99.79","-99.79"
"350","-99.79","-99.79","-99.79"
"351","-99.775","-99.775","-99.775"
"352","-99.75","-99.75","-99.75"
"353","-99.73","-99.73","-99.73"
"354","-99.75","-99.75","-99.75"
"355","-99.745","-99.745","-99.745"
"356","-99.745","-99.745","-99.745"
"357","-99.765","-99.765","-99.765"
"358","-99.77","-99.77","-99.77"
"359","-99.755","-99.755","-99.755"
"360","-99.755","-99.755","-99.755"
"361","-99.755","-99.755","-99.755"
"362","-99.75","-99.75","-99.75"
"363","-99.75","-99.75","-99.75"
"364","-99.765","-99.765","-99.765"
"365","-99.755","-99.755","-99.755"
"366","-99.78","-99.78","-99.78"
"367","-99.775","-99.775","-99.775"
"368","-99.775","-99.775","-99.775"
"369","-99.76","-99.76","-99.76"
"370","-99.765","-99.765","-99.765"
"371","-99.735","-99.735","-99.735"
"372","-99.76","-99.76","-99.76"
"373","-99.765","-99.765","-99.765"
"374","-99.775","-99.775","-99.775"
"375","-99.77","-99.77","-99.77"
"376","-99.78","-99.78","-99.78"
"377","-99.76","-99.76","-99.76"
"378","-99.74","-99.74","-99.74"
"379","-99.76","-99.76","-99.76"
"380","-99.75","-99.75","-99.75"
"381","-99.76","-99.76","-99.76"
"382","-99.775","-99.775","-99.775"
"383","-99.78","-99.78","-99.78"
"384","-99.765","-99.765","-99.765"
"385","-99.77","-99.77","-99.77"
"386","-99.765","-99.765","-99.765"
"387","-99.76299999999999","-99.76299999999999","-99.76299999999999"
"388","-99.76299999999999","-99.76299999999999","-99.76299999999999"
"389","-99.77799999999999","-99.77799999999999","-99.77799999999999"
"390","-99.76799999999999","-99.76799999999999","-99.76799999999999"
"391","-99.758","-99.758","-99.758"
"392","-99.74","-99.74","-99.74"
"393","-99.74","-99.74","-99.74"
"394","-99.725","-99.725","-99.725"
"395","-99.74","-99.74","-99.74"
"396","-99.745","-99.745","-99.745"
"397","-99.775","-99.775","-99.775"
"398","-99.78","-99.78","-99.78"
"399","-99.79","-99.79","-99.79"
"400","-99.79","-99.79","-99.79"
"401","-99.775","-99.775","-99.775"
"402","-99.75","-99.75","-99.75"
"403","-99.73","-99.73","-99.73"
"404","-99.75","-99.75","-99.75"
"405","-99.745","-99.745","-99.745"
"406","-99.745","-99.745","-99.745"
"407","-99.765","-99.765","-99.765"
"408","-99.77","-99.77","-99.77"
"409","-99.755","-99.755","-99.755"
"410","-99.755","-99.755","-99.755"
"411","-99.755","-99.755","-99.755"
"412","-99.75","-99.75","-99.75"
"413","-99.75","-99.75","-99.75"
"414","-99.765","-99.765","-99.765"
"415","-99.755","-99.755","-99.755"
"416","-99.78","-99.78","-99.78"
"417","-99.775","-99.775","-99.775"
"418","-99.775","-99.775","-99.775"
"419","-99.76","-99.76","-99.76"
"420","-99.765","-99.765","-99.765"
"421","-99.735","-99.735","-99.735"
"422","-99.76799999999999","-99.76799999999999","-99.76799999999999"
"423","-99.773","-99.773","-99.773"
